Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES,Brands
526,Boutique Riyadh,TRUE,"Olaya Tower Complex, Olaya Street",Prince Mohammed Bin Abdulaziz Road,3074,Riyadh,,Saudi Arabia,+966 11 216 2030,,https://www.alange-soehne.com/us-en/boutiques/asia/saudi-arabia/riyadh/a-lange-sohne-boutique-riyadh,,,,,,,,,,,,,24.6902629,46.6849897,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
5401,Blancpain Boutique Shinsegae Gangnam Department Store,TRUE,Shinsegae Gangnam Dept Store 3F,"176, Shinbanpo-ro, Seocho-gu",06546,Seoul,,South Korea,+82 2 3479 1833,sggangnambp@kr.swatchgroup.com,https://www.blancpain.com/en-us/points-sale/blancpain-boutique-shinsegae-gangnam-department-store,,,,,,,,,,,,,37.5041948,127.0028762,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN"
2000548,Boutique Nanjing Deji,TRUE,"F122, 1F, Deji Plaza Second Phase, No.18 Zhongshan Road,",,210005,Nanjing Deji,Jiangsu,China,+86(0791)86733236,,https://www.omegawatches.com/en-us/store/storedetails/2000646,,,,,,,,,,,,,32.0429195,118.7851197,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
8904,Rolex Boutique Nihombashi Mitsukoshi Main Store,TRUE,"Nihombashimitsukoshi honten 6F, 1-4-1 Nihombashi Muromachi, Chuo-ku","1-4-1 Nihombashi-Muromachi, Chuo-ku",103-8001/u3000,Tokyo,Tokyo,Japan,+81 3 6254 7222,omega.boutique.ginza@jp.swatchgroup.com,https://www.omegawatches.com/en-us/store/storedetails/6981,,,,,,,,,,,,,35.6855950,139.7731269,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>, <a href=""https://watchdna.com/blogs/history/ROLEX"">ROLEX</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA, ROLEX"
10060747,Boutique Munich,TRUE,Residenzstraße 18,Residenzstraße 18,80333,München,,Germany,+49 89 262049300,aphouse.munich@audemarspiguet.com,https://www.alange-soehne.com/us-en/boutiques/europe/germany/munich/a-lange-sohne-boutique-munich,,,,,,,,,,,,,48.1403820,11.5772638,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/AUDEMARS-PIGUET"">AUDEMARS PIGUET</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, AUDEMARS PIGUET"
5310527,Blancpain Boutique Tokyo Isetan Shinjuku,TRUE,"Main Building 5th floor, Isetan Shinjuku, 3-14-1, Shinjuku, Shinjuku Ku",Shinjuku-ku,160-0022,Tokyo,,Japan,+8103 3572 2212,omega6namiki@tenshodo.co.jp,https://www.omegawatches.com/en-us/store/storedetails/6984,,,,,,,,,,,,,35.6916621,139.7045718,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/BLANCPAIN"">BLANCPAIN</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, BLANCPAIN, OMEGA"
475,"Boutique Hongkong, Prince's Building",TRUE,10 Chater Road,"Prince’s Building, Shop G28-29",,Hong Kong,,"Hong Kong SAR, China",+852 2462 2538,,https://www.alange-soehne.com/us-en/boutiques/asia/hong-kong-sar-china/hong-kong/a-lange-sohne-boutique-hong-kong-princes-building,,,,,,,,,,,,,22.2812325,114.1590871,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
478,"Boutique Macau, MGM Cotai",TRUE,Avenida da Nave Desportiva,"Shop 107, G/F, MGM Cotai",,Macau,,"Macau SAR, China",+853 2877 6158,,https://www.alange-soehne.com/us-en/boutiques/asia/macau-sar-china/macau/a-lange-sohne-boutique-macau-mgm-cotai,,,,,,,,,,,,,22.1471873,113.5703382,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
480,"Boutique Beijing, China World",TRUE,"No. 1 Jianguomen Wai Street, Chaoyang District, SL2034 Beijing China World Mall",,100004,Beijing,,China,+86 10 65050336,,https://www.alange-soehne.com/us-en/boutiques/asia/china/beijing/a-lange-sohne-boutique-beijing-china-world,,,,,,,,,,,,,39.9098869,116.4591423,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>",,,,,,,,,,,,,,,,,,,,A. LANGE & SÖHNE
1318,"Boutique Beijing, SKP",TRUE,"87 Jian Guo Road, Chaoyang District, D1009, 1/F, SKP Beijing",,100025,Beijing,Beijing,China,+86 10 8518 7188,boutique.orientalplaza.bj.cn@omegawatches.com,https://www.omegawatches.com/en-us/store/storedetails/1345,,,,,,,,,,,,,39.9096865,116.4788221,,,,,,,,,,,,"<a href=""https://watchdna.com/blogs/history/A-LANGE-SÖHNE"">A. LANGE & SÖHNE</A>, <a href=""https://watchdna.com/blogs/history/OMEGA"">OMEGA</A>",,,,,,,,,,,,,,,,,,,,"A. LANGE & SÖHNE, OMEGA"
