Handle,Name,Status,Address Line 1,Address Line 2,Postal/ZIP Code,City,State/Province/Region,Country,Phone,Email,Website,Image URL,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Page Title,Page Description,Meta Title,Meta Description,Latitude,Longitude,Priority,Name - FR,Page Title - FR,Page Description - FR,Name - ZH-CN,Page Title - ZH-CN,Page Description - ZH-CN,Name - ES,Page Title - ES,Page Description - ES, Tags,Custom Brands,Custom Brands - FR,Custom Brands - ZH-CN,Custom Brands - ES,Custom Button title 1,Custom Button title 1 - FR,Custom Button title 1 - ZH-CN,Custom Button title 1 - ES,Custom Button URL 1,Custom Button URL 1 - FR,Custom Button URL 1 - ZH-CN,Custom Button URL 1 - ES,Custom Button title 2,Custom Button title 2 - FR,Custom Button title 2 - ZH-CN,Custom Button title 2 - ES,Custom Button URL 2,Custom Button URL 2 - FR,Custom Button URL 2 - ZH-CN,Custom Button URL 2 - ES
13-secrets-jewelry-gallery,13 SECRETS JEWELRY GALLERY,TRUE,513 Whitaker Street,"",31401,Savannah,Georgia,USA,(+1) 912-484-0985,13secretssavannah@gmail.com,http://www.13secret.com/?utm_source=Jewellers&utm_medium=referal,https://cdn.shopify.com/s/files/1/0755/6235/2943/files/2024-06-11.jpg?v=1752517462,,,,,,,,13 SECRETS JEWELRY GALLERY,"",13 SECRETS JEWELRY GALLERY,"",32.0697736,-81.0968859,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
13-secrets-plant-riverside,13 SECRETS PLANT RIVERSIDE,TRUE,"West River Street, 300, Suite 101","",31401,Savannah,Georgia,USA,(+1) 912-484-0985,13secretssavannah@gmail.com,http://www.13secret.com/?utm_source=Jewellers&utm_medium=referal,,,,,,,,,13 SECRETS PLANT RIVERSIDE,"",13 SECRETS PLANT RIVERSIDE,"",32.0831444,-81.0946478,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
5-11-tactical-las-vegas,5.11 TACTICAL - LAS VEGAS,TRUE,4305 Dean Martin Dr Ste 100,"",89103,Las Vegas,Nevada,USA,(+1) 702-625-0943,,,,,,,,,,,5.11 TACTICAL - LAS VEGAS,"",5.11 TACTICAL - LAS VEGAS,"",36.1108973,-115.1816495,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
5-11-tactical-reno,5.11 TACTICAL - RENO,TRUE,6667 South Virginia Street,"",89511,Reno,Nevada,USA,(+1) 775-300-6016,,,,,,,,,,,5.11 TACTICAL - RENO,"",5.11 TACTICAL - RENO,"",39.4656711,-119.785578,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/G-SHOCK"">G-SHOCK</A>","","","",,"","","",,"","","",,"","","",,"","",""
ab-jewelers,AB JEWELERS,TRUE,2700 N Green Valley Pkwy,"",89014,Henderson,Nevada,USA,(+1) 702-558-0019,,,,,,,,,,,AB JEWELERS,"",AB JEWELERS,"",36.0699924,-115.0819444,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CITIZEN"">CITIZEN</A>, <a href=""https://watchdna.com/blogs/history/BULOVA"">BULOVA</A>","","","",,"","","",,"","","",,"","","",,"","",""
abe-presman-jewelry,ABE PRESMAN JEWELRY,TRUE,58 Village Center Dr,"",7728,Freehold,New Jersey,USA,,,,,,,,,,,,ABE PRESMAN JEWELRY,"",ABE PRESMAN JEWELRY,"",40.2413076,-74.3063603,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/CHARRIOL"">CHARRIOL</A>","","","",,"","","",,"","","",,"","","",,"","",""
ace-jewelers,ACE JEWELERS,TRUE,"Van Baerlestraat 46, 1071","",1071,Amsterdam,Noord-Holland,Netherlands,(+31) 020 57 11 560,service@acejewelers.com,https://www.acejewelers.com/?utm_source=Jewellers&utm_medium=Store+locator,https://cdn.shopify.com/s/files/1/0755/6235/2943/files/acejewelers.webp?v=1725937746,,,,,,,,ACE JEWELERS,"",ACE JEWELERS,"",52.3583232,4.8780859,,"","","","","","","","","","","AIRAIN, ALLE, AWAKE, BAMFORD LONDON, BAUSELE, <a href=""https://watchdna.com/blogs/history/BREMONT"">BREMONT</A>, CHRISTIAN VAN DER KLAAUW , <a href=""https://watchdna.com/blogs/history/ELKA"">ELKA</A>, <a href=""https://watchdna.com/blogs/history/FEARS"">FEARS</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FRÉDÉRIQUE CONSTANT</A>, MING, NIVADA GRENCHEN, <a href=""https://watchdna.com/blogs/history/NOMOS-GLASHUTTE"">NOMOS GLASHUTTE</A>, RAKETA, SHERPA, SPACE ONE, VULCAIN,","","","",,"","","",,"","","",,"","","",,"","",""
aika-juweliere,AIKA JUWELIERE,TRUE,Bautzner Str. 6,"",1099,Dresden,Saxony,Germany,(+49)-351-/-4-262-074,info@uhrenlounge.de,www.uhrenlounge.de,,,,,,,,,AIKA JUWELIERE,"",AIKA JUWELIERE,"",51.0626511,13.7500166,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/FORTIS"">FORTIS</A>","","","",,"","","",,"","","",,"","","",,"","",""
alara-jewelry,ALARA JEWELRY,TRUE,42 W Main St,"",59715,Bozeman,Montana,USA,(+1) 406-522-8844,,,,,,,,,,,ALARA JEWELRY,"",ALARA JEWELRY,"",45.6791207,-111.0385529,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/JUNGHANS"">JUNGHANS</A>","","","",,"","","",,"","","",,"","","",,"","",""
alicia-s-jewelers,ALICIA'S JEWELERS,TRUE,211-19 26Th Avenue,"",11360,Bayside,New York,USA,(+1) 718-224-0075,,,,,,,,,,,ALICIA'S JEWELERS,"",ALICIA'S JEWELERS,"",40.7788621,-73.7788553,,"","","","","","","","","","","<a href=""https://watchdna.com/blogs/history/BELL-ROSS"">BELL & ROSS</A>, <a href=""https://watchdna.com/blogs/history/FREDERIQUE-CONSTANT"">FREDERIQUE CONSTANT</A>","","","",,"","","",,"","","",,"","","",,"","",""
